"project_id","status","year_comp","area_ha","proj_name","proj_part","street_num","street_name","street_type","add_misc","suburb","detached","townhouses","apartments","unknown","att_1s","att_2_3s","att_4s","total_dwel","max_storeys","lga","region","file_year","x_id","identifier","year_compX","w_id","group_id","isec_area_ha","flag","isec_pct"
"R01118","Completed",2010,6.7,"Sunshine Golf Course Redevelopment",NA,"130","Fitzgerald","Road",NA,"Sunshine West",115,NA,NA,0,0,0,0,115,NA,"Brimbank","West",2011,1142,"130 fitzgerald",2010,1043,83,6.67042884692252,"further checking",99.5853641424399
"R07084","Completed",2016,37.34634781,"5379 Callaway Park",NA,"130","Fitzgerald","Road",NA,"Sunshine West",300,400,0,0,NA,NA,NA,700,2,"Brimbank","Western Region",2017,2841,"130 fitzgerald",2016,2742,83,6.67042884692252,"further checking",17.8609936407318
"R07667","Completed",2011,0.13,"Point Nepean Road Residential Development",NA,"1587","Point Nepean","ROAD",NA,"Rosebud West",0,NA,NA,0,0,28,0,28,NA,"Mornington Peninsula","South",2012,1734,"1587 point nepean",2011,1635,84,0.128433127035201,"further checking",99.9728265567376
"R15484","Completed",2016,0.2698743," ",NA,"1587","Point Nepean","Road"," ","Rosebud West",0,0,27,0,NA,NA,NA,27,NA,"Mornington Peninsula","Southern Region",2017,2853,"1587 point nepean",2016,2754,84,0.128433127035201,"further checking",47.5899779315295
"R00357","Completed",2005,5.17,NA,"None",NA,"Sandown","Road",NA,"Springvale",0,NA,NA,0,0,60,0,60,NA,"Greater Dandenong","South",2006,389,"NA sandown",2004,290,85,0.180776161173731,"further checking",3.49518299617383
"R10944","Completed",2016,0.180847,"Eighth Boulevard Townhouses",NA,"35-39","Eighth","Boulevard",NA,"Springvale",0,18,0,0,NA,NA,NA,18,4,"Greater Dandenong","Southern Region",2017,2881,"35-39 eighth",2016,2782,85,0.180776161173731,"further checking",99.9608284177914
"R08356","Completed",2012,0.05,"Claremont Street Apartment Building",NA,"43-45","Claremont","Street",NA,"South Yarra",0,NA,NA,0,0,0,73,73,NA,"Stonnington","Inner",2013,1994,"43-45 claremont",2012,1895,86,0.0487646103308536,"further checking",99.9689044451514
"R09079","Completed",2016,0.09767752,"Prime Tower",NA,"45-47","Claremont","Street",NA,"South Yarra",0,0,59,0,NA,NA,NA,59,15,"Stonnington","Inner South East Region",2017,3068,"45-47 claremont",2016,2969,86,0.0487646103308536,"further checking",49.924085835638
"R00990","Completed",2005,0.61,"MECWA Aged Care Facility","None","7-11","Elm","Road",NA,"Glen Iris",0,NA,NA,0,0,21,0,21,NA,"Stonnington","East",2005,209,"7-11 elm",2004,110,87,0.597469616848789,"further checking",97.8407758459269
"R13443","Completed",2016,0.59759682,"Mecwacare",NA,"7","Elm","Road",NA,"Glen Iris",0,0,23,0,NA,NA,NA,23,3,"Stonnington","Inner South East Region",2017,3078,"7 elm",2016,2979,87,0.597469616848789,"further checking",99.9787174969141
"R07301","Completed",2010,0.19,"Commercial Road Development",NA,"132-152","Commerical","Road",NA,"Prahran",0,NA,NA,42,0,0,0,42,NA,"Stonnington","Inner",2010,1047,"132-152 commerical",2010,948,88,0.191608160082065,"further checking",99.9017026139973
"R11308","Completed",2016,0.19187094,NA,NA,"132-152","Commercial","Road",NA,"Prahran",0,0,0,140,NA,NA,NA,140,9,"Stonnington","Inner South East Region",2017,3098,"132-152 commercial",2016,2999,88,0.191608160082065,"further checking",99.8630451575712
"R08027","Completed",2012,32.93,"Lalor Golf Course",NA,"50","Gillwell","Road",NA,"Lalor",0,NA,NA,450,0,0,0,450,NA,"Whittlesea","North",2013,1755,"50 gillwell",2012,1656,89,0.337241542594135,"further checking",1.02375597925665
"R13617","Completed",2016,0.33724153,"Mosaic Drive Units",NA,"200R","Mosaic","Road",NA,"Lalor",0,15,0,0,NA,NA,NA,15,2,"Whittlesea","Northern Region",2017,3120,"200R mosaic",2016,3021,89,0.337241542594135,"further checking",100
"R00295","Completed",2007,0.32,"Barkly Street Apartments","None","227-231","Barkly","Street",NA,"Brunswick",0,NA,NA,0,0,49,0,49,NA,"Moreland","North",2007,465,"227-231 barkly",2004,366,90,0.321164316941798,"further checking",99.9662035157241
"R10310","Completed",2016,0.67916906,NA,NA,"227-231","Barkly","Street",NA,"Brunswick",0,0,0,65,NA,NA,NA,65,2,"Moreland","Northern Region",2017,3135,"227-231 barkly",2016,3036,90,0.321164316941798,"further checking",47.2878326852913
"R08836","Completed",2011,0.2,"Dickens Street Apartment Complex",NA,"12/14","Dickens","STREET",NA,"Elwood",0,NA,NA,8,0,50,0,58,NA,"Port Phillip","Inner",2012,1702,"12/14 dickens",2011,1603,91,0.197233269810677,"further checking",99.9925689481997
"R12559","Completed",2016,0.21979727,"Canopy Apartments",NA,"12-14","Dickens","Street",NA,"Elwood",0,0,61,0,NA,NA,NA,61,4,"Port Phillip","Inner Metro Region",2017,3181,"12-14 dickens",2016,3082,91,0.197233269810677,"further checking",89.7341755883637
"R07995","Completed",2011,0.08,NA,NA,"147-155","Eastern","ROAD",NA,"South Melbourne",0,NA,NA,0,0,0,32,32,NA,"Port Phillip","Inner",2012,1660,"147-155 eastern",2011,1561,92,0.0795119743581861,"further checking",99.9999999988287
"R12598","Completed",2016,0.07951198,"Momentum",NA,"147-155","Eastern","Road",NA,"South Melbourne",0,0,54,0,NA,NA,NA,54,6,"Port Phillip","Inner Metro Region",2017,3185,"147-155 eastern",2016,3086,92,0.0795119743581861,"further checking",99.9999999991801
"R00094","Completed",2007,3.04,"Hoffman Brickworks","None","72-106","Dawson","Street",NA,"Brunswick",0,NA,NA,0,0,265,0,265,NA,"Moreland","North",2007,447,"72-106 dawson",2007,348,93,0.720492373341694,"further checking",23.6812219009793
"R05784","Completed",2016,0.72049236,"Dawson Street Gatehouse",NA,"72-106","Dawson","Street",NA,"Brunswick",0,0,54,0,NA,NA,NA,54,4,"Moreland","Northern Region",2017,3207,"72-106 dawson",2016,3108,93,0.720492373341694,"further checking",100.000000000103
"R05280","Completed",2005,0.26,"Victoria Street Brewery","Stage 1","388-410","Victoria","Street",NA,"North Melbourne",0,NA,NA,144,0,0,0,144,NA,"Melbourne","Inner",2006,415,"388-410 victoria",2005,316,94,0.0818808984957635,"further checking",31.8087381437726
"R07388","Completed",2016,0.08189954,"Victoria Street Residential/warehouse/showroom",NA,"392-398","Victoria","Street",NA,"North Melbourne",0,0,16,0,NA,NA,NA,16,4,"Melbourne","Inner Metro Region",2017,3246,"392-398 victoria",2016,3147,94,0.0818808984957635,"further checking",99.9772367667527
"R07889","Completed",2012,0.69,"Stadium Precinct - Lacrosse Stafe 1 (east Tower)",NA,"673-675","La Trobe","Street",NA,"Docklands",0,NA,NA,0,0,0,312,312,NA,"Melbourne","Inner",2013,1909,"673-675 la trobe",2012,1810,95,0.312160835381364,"further checking",45.2436398200918
"R12657","Completed",2016,0.31681681,"Stadium precinct - la crosse stage 2 - west tower",NA,"675","La Trobe Street","Road",NA,"Docklands",0,0,186,0,NA,NA,NA,186,18,"Melbourne","Inner Metro Region",2017,3254,"675 la trobe street",2016,3155,95,0.312160835381364,"further checking",98.5303875746714
"R00687","Completed",2008,0.9,"Waterford Green NE",NA,"50","Wests","Road",NA,"Maribyrnong",0,NA,NA,0,0,271,0,271,NA,"Maribyrnong","West",2009,551,"50 wests",2008,452,97,0.154307941102795,"further checking",17.0927518335889
"R11301","Completed",2016,0.15517014,"Building C",NA,"62","Wests","Road",NA,"Maribyrnong",0,0,72,0,NA,NA,NA,72,8,"Maribyrnong","Western Region",2017,3290,"62 wests",2016,3191,97,0.154307941102795,"further checking",99.4443553276671
"R10479","Completed",2012,0.12,"Lofts 601 On Little Collins",NA,"601-611","Little Collins","St",NA,"Melbourne",0,NA,NA,0,0,0,21,21,NA,"Melbourne","Inner",2013,1928,"601-611 little collins",2012,1829,98,0.123669079935364,"further checking",99.9999999998494
"R12819","Completed",2016,0.12366908,"Lofts 601 on Little Collins",NA,"601-611","Little Collins","Street",NA,"Melbourne",0,0,0,85,NA,NA,NA,85,NA,"Melbourne","Inner Metro Region",2017,3294,"601-611 little collins",2016,3195,98,0.123669079935364,"further checking",99.9999999998494
"R10500","Completed",2012,0.17,"Infinity 8",NA,"243-263","Franklin","Street",NA,"Melbourne",0,NA,NA,0,0,0,168,168,NA,"Melbourne","Inner",2013,1930,"243-263 franklin",2012,1831,99,0.165291469606012,"further checking",99.864196731902
"R10501","Completed",2012,0.17,"Infinity 88 - Stage 1",NA,"243-263","Franklin","Street",NA,"Melbourne",0,NA,NA,0,0,0,93,93,NA,"Melbourne","Inner",2013,1931,"243-263 franklin",2012,1832,99,0.165291469606012,"further checking",99.864196731902
"R12832","Completed",2016,0.16529147,"Grand 8 Hotel - Stage 3",NA,"243-263","Franklin","Street",NA,"Melbourne",0,0,0,54,NA,NA,NA,54,NA,"Melbourne","Inner Metro Region",2017,3295,"243-263 franklin",2016,3196,99,0.165291469606012,"further checking",100
"R06546","Completed",2014,0.14,"Albert Road Units",NA,"42","Albert","ROAD",NA,"South Melbourne",0,NA,NA,0,0,0,220,220,NA,"Port Phillip","Inner",2015,2336,"42 albert",2014,2237,100,0.130027406018786,"further checking",93.5567021160918
"R11867","Completed",2016,0.15200859,"50 Albert",NA,"42-50","Albert","Road","& 42 & 44-50 Albert Rd","South Melbourne",0,0,294,0,NA,NA,NA,294,28,"Port Phillip","Inner Metro Region",2017,3308,"42-50 albert",2016,3209,100,0.130027406018786,"further checking",85.539513332166
"R06361","Completed",2012,17.01,"Janefield",NA,NA,NA,"Road",NA,"Bundoora",0,NA,NA,0,0,350,0,350,NA,"Whittlesea","North",2013,1741,"NA NA",2012,1642,101,1.81676708982699,"further checking",10.6740337896295
"R10618","Completed",2016,1.84666419,"Linacre Drive Dwellings",NA,"25","Linacre","Drive",NA,"Bundoora",0,58,0,0,NA,NA,NA,58,2,"Whittlesea","Northern Region",2017,3311,"25 linacre",2016,3212,101,1.81676708982699,"further checking",98.3810231368034
"R00098","Completed",2007,2.69,"Horizon Estate",NA,"Cnr","Warrs & Van Ness","Road",NA,"Maribyrnong",0,NA,NA,0,0,138,0,138,NA,"Maribyrnong","West",2010,583,"Cnr warrs & van ness",2007,484,102,0.165403430051869,"further checking",6.14261548393504
"R17127","Completed",2017,0.16540343,"11 horizon drive",NA,"11","horizon","Drive",NA,"Maribyrnong",0,0,28,0,NA,NA,NA,28,6,"MARIBYRNONG","Western",2018,3338,"11 horizon",2017,3239,102,0.165403430051869,"further checking",99.9999999997185
"R07658","Completed",2009,0.14,"Jetty Road Apartments/retail/restaurant",NA,"1A","Jetty","Road",NA,"Rosebud",0,NA,NA,0,0,10,0,10,NA,"Mornington Peninsula","South",2011,1474,"1A jetty",2009,1375,103,0.136399427699484,"further checking",99.9601842591314
"R13383","Completed",2017,0.2532514,"Banksia Point Apartments",NA,"1A","Jetty","Road","& cnr Pt Nepean Hwy","Rosebud",0,0,34,0,NA,NA,NA,34,3,"MORNINGTON PENINSULA","Southern",2018,3416,"1A jetty",2017,3317,103,0.136399427699484,"further checking",53.8592986952667
"R00418","Completed",2006,17.98,"Commonwealth Games Village",NA,"944-1000","Park [Oak, Tullamarine, Gibson]","Street",NA,"Parkville",168,NA,NA,0,0,650,0,818,NA,"Melbourne","Inner",2008,542,"944-1000 park [oak, tullamarine, gibson]",2006,443,104,0.113339755010977,"further checking",0.630227476795881
"R13842","Completed",2017,0.14258115,"Flourish Parkside",NA,"51-55","Galada","Avenue",NA,"Parkville",0,0,136,0,NA,NA,NA,136,14,"MELBOURNE","Inner",2018,3430,"51-55 galada",2017,3331,104,0.113339755010977,"further checking",79.4914024573364
"R00418","Completed",2006,17.98,"Commonwealth Games Village",NA,"944-1000","Park [Oak, Tullamarine, Gibson]","Street",NA,"Parkville",168,NA,NA,0,0,650,0,818,NA,"Melbourne","Inner",2008,542,"944-1000 park [oak, tullamarine, gibson]",2006,443,105,0.106289586900175,"further checking",0.591024906973601
"R13859","Completed",2017,0.13732214,"Thrive Parkside",NA,"90","Cade","Way",NA,"Parkville",0,0,134,0,NA,NA,NA,134,14,"MELBOURNE","Inner",2018,3431,"90 cade",2017,3332,105,0.106289586900175,"further checking",77.4016409406876
"R05174","Completed",2013,0.24,"Lillimur Road Apartments",NA,"14-18","Lillimur","Road",NA,"Ormond",0,NA,NA,0,0,12,0,12,NA,"Glen Eira","South",2014,2052,"14-18 lillimur",2013,1953,106,0.0787001340797869,"further checking",32.9554966734663
"R14790","Completed",2017,0.07873399,"Lillimur Road Apartments",NA,"18","Lillimur","Road",NA,"Ormond",0,0,15,0,NA,NA,NA,15,3,"GLEN EIRA","Inner South East",2018,3584,"18 lillimur",2017,3485,106,0.0787001340797869,"further checking",99.9570017052507
"R00129","Completed",2005,0.28,"Living Springs","None","470-496","Swanston","Street",NA,"Carlton",0,NA,NA,0,0,0,171,171,NA,"Melbourne","Inner",2006,356,"470-496 swanston",2004,257,107,0.277294530975819,"further checking",99.9174155696458
"R12820","Completed",2017,0.27881974,"Arrow on Swanston extension",NA,"470-496","Swanston","Street",NA,"Carlton",0,0,0,10,NA,NA,NA,10,12,"MELBOURNE","Inner",2018,3652,"470-496 swanston",2017,3553,107,0.277294530975819,"further checking",99.4529738844868
"R09080","Completed",2016,0.11,"White Street Affordable Housing",NA,"88-90","White","Street",NA,"Mordialloc",0,NA,NA,0,0,34,0,34,NA,"Kingston","South",2016,2521,"88-90 white",2016,2422,108,0.106160474234108,"further checking",99.7733687122247
"R15755","Completed",2017,0.21655472,NA,NA,"88","White","Street",NA,"Mordialloc",0,0,16,0,NA,NA,NA,16,3,"KINGSTON","Southern",2018,3692,"88 white",2017,3593,108,0.106160474234108,"further checking",49.0224730993173
"R08304","Completed",2012,0.11,"White Street Dwellings",NA,"90","White","Street",NA,"Mordialloc",0,NA,NA,0,0,18,0,18,NA,"Kingston","South",2013,1815,"90 white",2012,1716,109,0.107129764986038,"further checking",99.7330274484335
"R15755","Completed",2017,0.21655472,NA,NA,"88","White","Street",NA,"Mordialloc",0,0,16,0,NA,NA,NA,16,3,"KINGSTON","Southern",2018,3692,"88 white",2017,3593,109,0.107129764986038,"further checking",49.4700693459876
"R03490","Completed",2004,0.47,"Red Cross Site","None","1-25","Balston","Street",NA,"Southbank",0,NA,NA,0,0,0,277,277,NA,"Melbourne","Inner",2005,310,"1-25 balston",2004,211,110,0.236286989868432,"further checking",50.6920164992613
"R12101","Completed",2017,0.23711316,"Southbank Central",NA,"1-13","Balston","Street",NA,"Southbank",0,0,485,0,NA,NA,NA,485,47,"MELBOURNE","Inner",2018,3727,"1-13 balston",2017,3628,110,0.236286989868432,"further checking",99.6515681844302
"R00376","Completed",2011,0.71,"Wheelans Site",NA,"597-605","Sydney","ROAD",NA,"Brunswick",0,NA,NA,0,0,0,163,163,NA,"Moreland","North",2012,1706,"597-605 sydney",2011,1607,111,0.0942427804514766,"further checking",13.2693097588627
"R11467","Completed",2017,0.09472666,"Breese Street Apartment Building",NA,"26","Breese","Street",NA,"Brunswick",0,0,65,0,NA,NA,NA,65,7,"MORELAND","Northern",2018,3736,"26 breese",2017,3637,111,0.0942427804514766,"further checking",99.4891861024946
"R11334","Completed",2016,0.09,"Henry Windsor Apartments",NA,"60-64","Punt","Road",NA,"Windsor",0,NA,NA,0,0,0,33,33,NA,"Stonnington","Inner",2016,2644,"60-64 punt",2016,2545,112,0.0937729963222519,"further checking",99.9439046697361
"R14300","Completed",2017,0.0938733,"Henry Windsor Apartments",NA,"46-48","Punt","Road",NA,"Windsor",0,0,53,0,NA,NA,NA,53,8,"STONNINGTON","Inner South East",2018,3739,"46-48 punt",2017,3640,112,0.0937729963222519,"further checking",99.8931494649888
"R00687","Completed",2008,0.9,"Waterford Green NE",NA,"50","Wests","Road",NA,"Maribyrnong",0,NA,NA,0,0,271,0,271,NA,"Maribyrnong","West",2009,551,"50 wests",2008,452,113,0.208227564303763,"further checking",23.0654498797692
"R15059","Completed",2017,0.20822756,"Building B",NA,"62","Wests","Road",NA,"Maribyrnong",0,0,93,0,NA,NA,NA,93,12,"MARIBYRNONG","Western",2018,3740,"62 wests",2017,3641,113,0.208227564303763,"further checking",100.000000000537
"R00098","Completed",2007,2.69,"Horizon Estate",NA,"Cnr","Warrs & Van Ness","Road",NA,"Maribyrnong",0,NA,NA,0,0,138,0,138,NA,"Maribyrnong","West",2010,583,"Cnr warrs & van ness",2007,484,115,0.137520215507969,"further checking",5.10711177433525
"R15984","Completed",2017,0.13752021,"8 Horizon Drive",NA,"8","Horizon","Road",NA,"Maribyrnong",0,0,38,0,NA,NA,NA,38,6,"MARIBYRNONG","Western",2018,3802,"8 horizon",2017,3703,115,0.137520215507969,"further checking",100
"R00030","Completed",2006,13.16,"River Valley Estate","Stage 1",NA,"Duke","Road",NA,"Sunshine North",195,NA,NA,0,0,0,0,195,NA,"Brimbank","West",2007,441,"NA duke",2006,342,116,0.329748915091157,"further checking",2.50380937918888
"R08740","Completed",2018,0.32983863,"St Andrews Drive Terraces",NA,"60","St Andrews","Drive",NA,"Sunshine North",0,22,0,0,NA,NA,NA,22,3,"BRIMBANK","Western",2019,3890,"60 st andrews",2018,3791,116,0.329748915091157,"further checking",99.972795456646
"R00318","Completed",2009,0.7,"Ballan Road Townhouses",NA,"Lot2/LP217962","Ballan","Road",NA,"Wyndham Vale",0,NA,NA,0,0,23,0,23,NA,"Wyndham","West",2011,1104,"Lot2/LP217962 ballan",2009,1005,117,0.493595277646277,"further checking",70.3048585563046
"R15535","Completed",2018,0.4940483,NA,NA,"4","Nepean","Court",NA,"Wyndham Vale",24,0,0,0,NA,NA,NA,24,1,"WYNDHAM","Western",2019,3894,"4 nepean",2018,3795,117,0.493595277646277,"further checking",99.9083045532272
"R03471","Completed",2008,0.85,NA,NA,"Cnr","Albert Park & Bear","Street",NA,"Mordialloc",0,NA,NA,0,0,14,0,14,NA,"Kingston","South",2010,717,"Cnr albert park & bear",2008,618,118,0.693732038852572,"further checking",81.1623060608712
"R09342","Completed",2018,0.70014399,"Park Street Dwellings",NA,"76","Albert","Street",NA,"Mordialloc",0,66,0,0,NA,NA,NA,66,3,"KINGSTON","Southern",2019,3907,"76 albert",2018,3808,118,0.693732038852572,"further checking",99.0841912164135
"R07334","Completed",2008,0.17,"Bay Road Dwellings",NA,"88","Bay","Road",NA,"Sandringham",0,NA,NA,0,0,5,0,5,NA,"Bayside","South",2009,569,"88 bay",2008,470,119,0.165575860289484,"further checking",99.4491725424526
"R14709","Completed",2018,0.1660804,"Bay Road Apartments",NA,"86-88","Bay","Road",NA,"Sandringham",0,0,22,0,NA,NA,NA,22,3,"BAYSIDE","Inner South East",2019,3955,"86-88 bay",2018,3856,119,0.165575860289484,"further checking",99.6962093702495
"R13542","Completed",2016,0.1,"Nicholson St Townhouses",NA,"582-600","Nicholson","Street",NA,"Fitzroy North",0,NA,NA,0,0,10,0,10,NA,"Yarra","Inner",2016,2661,"582-600 nicholson",2016,2562,120,0.0952955496466951,"further checking",99.9596794184034
"R13844","Completed",2018,0.70333594,"Nicholson and Reid",NA,"582-600","Nicholson","Street",NA,"Fitzroy North",0,57,35,0,NA,NA,NA,92,3,"YARRA","Inner Metro",2019,4061,"582-600 nicholson",2018,3962,120,0.0952955496466951,"further checking",13.5490802412057
"R10768","Completed",2016,0.07,"Nicholson & Reid",NA,"582-600","Nicholson","Street",NA,"Fitzroy North",0,NA,NA,0,0,0,36,36,NA,"Yarra","Inner",2016,2650,"582-600 nicholson",2016,2551,121,0.0731248937500175,"further checking",99.8957227971465
"R13844","Completed",2018,0.70333594,"Nicholson and Reid",NA,"582-600","Nicholson","Street",NA,"Fitzroy North",0,57,35,0,NA,NA,NA,92,3,"YARRA","Inner Metro",2019,4061,"582-600 nicholson",2018,3962,121,0.0731248937500175,"further checking",10.3968659262882
"R00687","Completed",2008,0.9,"Waterford Green NE",NA,"50","Wests","Road",NA,"Maribyrnong",0,NA,NA,0,0,271,0,271,NA,"Maribyrnong","West",2009,551,"50 wests",2008,452,123,0.211722961500846,"further checking",23.4526364135443
"R15060","Completed",2019,0.21499933,"Building A",NA,"62","Wests","Road",NA,"Maribyrnong",0,0,182,0,NA,NA,NA,182,18,"MARIBYRNONG","Western",2020,4288,"62 wests",2019,4189,123,0.211722961500846,"further checking",98.4760987309051
"R00622","Completed",2005,0.04,"Buckey Hall","None","63","Buckley","Street",NA,"Moonee Ponds",0,NA,NA,0,0,24,0,24,NA,"Moonee Valley","West",2005,298,"63 buckley",2005,199,124,0.0447274583183229,"further checking",99.9671640630829
"R12674","Completed",2019,0.41997913,NA,NA,"63-69","Buckley","Street",NA,"Moonee Ponds",0,29,0,0,NA,NA,NA,29,2,"MOONEE VALLEY","Western",2020,4320,"63-69 buckley",2019,4221,124,0.0447274583183229,"further checking",10.6499242555771
"R06361","Completed",2012,17.01,"Janefield",NA,NA,NA,"Road",NA,"Bundoora",0,NA,NA,0,0,350,0,350,NA,"Whittlesea","North",2013,1741,"NA NA",2012,1642,126,0.694714546617959,"further checking",4.08164953354224
"R17128","Completed",2019,0.69471455,"Janefield Drive Townhouses","Part 1","33","Janefield","Road",NA,"Bundoora",0,31,0,0,NA,NA,NA,31,2,"WHITTLESEA","Northern",2020,4411,"33 janefield",2019,4312,126,0.694714546617959,"further checking",100.000000000188
"R0796","Completed",2004,4.39,"Gas & Fuel site","None","36-58","Macaulay","Road",NA,"NORTH MELBOURNE",0,NA,NA,0,0,0,260,260,NA,"Melbourne","Inner",2004,65,"36-58 macaulay",2004,15,127,0.812248408252001,"further checking",18.4698320792495
"R11446","Completed",2019,0.81230265,"Canning and Vaughan",NA,"101-133","Canning","Street",NA,"North Melbourne",0,0,292,0,NA,NA,NA,292,16,"MELBOURNE","Inner",2020,4415,"101-133 canning",2019,4316,127,0.812248408252001,"further checking",99.9933215963812
"R11663","Completed",2016,0.14674671,"New Street Apartments",NA,"2","Well","Street","& 190-192 New St","Brighton",0,0,27,0,NA,NA,NA,27,3,"Bayside","Inner South East Region",2017,2972,"2 well",2016,2873,128,0.145535438642651,"further checking",99.1745811845025
"R17480","Completed",2020,0.14589334,"NEW AND WELL STREETS APARTMENTS",NA,NA,"NEW","STREET",NA,"BRIGHTON",0,0,27,0,NA,NA,NA,27,3,"BAYSIDE","Inner South East",2021,4457,"NA new",2020,4358,128,0.145535438642651,"further checking",99.7546897399336
"R12218","Completed",2017,0.39561015,"Landcox Street Townhouses",NA,"15","Landcox","Road",NA,"Brighton East",0,25,0,0,NA,NA,NA,25,2,"BAYSIDE","Inner South East",2018,3394,"15 landcox",2017,3295,129,0.389048151570559,"further checking",98.3412979682396
"R17484","Completed",2020,0.38914457,"LANDCOX STREET DWELLINGS",NA,"17-21","LANDCOX","STREET",NA,"BRIGHTON EAST",20,0,0,0,NA,NA,NA,20,2,"BAYSIDE","Inner South East",2021,4458,"17-21 landcox",2020,4359,129,0.389048151570559,"further checking",99.9752201632329
"R16125","Completed",2017,0.12078658,NA,NA,"5-7","Orr","Street",NA,"Heidelberg Heights",0,12,0,0,NA,NA,NA,12,2,"BANYULE","Northern",2018,3357,"5-7 orr",2017,3258,130,0.120786576899141,"further checking",99.9999999989205
"R17790","Completed",2020,0.1214999,"ORR STREET TOWNHOUSES",NA,NA,"ORR","STREET",NA,"HEIDELBERG HEIGHTS",0,12,0,0,NA,NA,NA,12,2,"BANYULE","Northern",2021,4467,"NA orr",2020,4368,130,0.120786576899141,"further checking",99.4128991348435
"R16393","Completed",2017,0.213526,"Cirqua Apartments",NA,"204-206","Lower Heidelberg ","Road",NA,"Ivanhoe East",0,0,42,0,NA,NA,NA,42,3,"BANYULE","Northern",2018,3364,"204-206 lower heidelberg ",2017,3265,131,0.213525534922443,"further checking",99.9997869240275
"R17794","Completed",2020,0.29654691,NA,NA,NA,"LOWER HEIDELBERG","ROAD",NA,"IVANHOE EAST",0,0,44,0,NA,NA,NA,44,0,"BANYULE","Northern",2021,4468,"NA lower heidelberg",2020,4369,131,0.213525534922443,"further checking",72.0039655466731
"R10939","Completed",2016,0.08298266,"Cirqua",NA,"204-208","Lower Heidelberg","Road",NA,"Ivanhoe East",0,0,14,0,NA,NA,NA,14,4,"Banyule","Northern Region",2017,3202,"204-208 lower heidelberg",2016,3103,132,0.0829090396903455,"further checking",99.9112814019351
"R17794","Completed",2020,0.29654691,NA,NA,NA,"LOWER HEIDELBERG","ROAD",NA,"IVANHOE EAST",0,0,44,0,NA,NA,NA,44,0,"BANYULE","Northern",2021,4468,"NA lower heidelberg",2020,4369,132,0.0829090396903455,"further checking",27.9581532931869
"R09345","Completed",2015,0.06,"Cape Street Apartments",NA,"119","Cape","Street",NA,"Heidelberg",0,NA,NA,0,0,12,0,12,NA,"Banyule","North",2016,2676,"119 cape",2015,2577,133,0.0634131030291319,"further checking",99.6947559040763
"R17795","Completed",2020,0.06377132,NA,NA,NA,"CAPE","STREET",NA,"HEIDELBERG",0,0,14,0,NA,NA,NA,14,0,"BANYULE","Northern",2021,4469,"NA cape",2020,4370,133,0.0634131030291319,"further checking",99.4382704045295
"R11600","Completed",2016,0.10426983,"Lower Plenty Road Apartments",NA,"172","Lower Plenty","Road",NA,"Rosanna",0,0,12,0,NA,NA,NA,12,3,"Banyule","Northern Region",2017,3168,"172 lower plenty",2016,3069,134,0.10367001557569,"further checking",99.4247466114418
"R17799","Completed",2020,0.10370955,"LOWER PLENTY ROAD APARTMENT BUILDING ROSANNA",NA,NA,"LOWER PLENTY","ROAD",NA,"ROSANNA",0,0,12,0,NA,NA,NA,12,3,"BANYULE","Northern",2021,4471,"NA lower plenty",2020,4372,134,0.10367001557569,"further checking",99.9618790016786
"R05362","Completed",2010,5.16,"Lancaster Gate",NA,NA,"Plenty","Road",NA,"Bundoora",40,NA,NA,0,0,0,0,40,NA,"Darebin","North",2011,1258,"NA plenty",2010,1159,135,0.146202881769463,"further checking",2.83047843434299
"R16659","Completed",2021,0.1943838,"Gonella Circuit Townhouses",NA,NA,"Gonella","Crescent",NA,"BUNDOORA",0,0,10,0,NA,NA,NA,10,2,"DAREBIN","Northern",2021,4669,"NA gonella",2021,4570,135,0.146202881769463,"further checking",75.2135089132579
"R05362","Completed",2010,5.16,"Lancaster Gate",NA,NA,"Plenty","Road",NA,"Bundoora",40,NA,NA,0,0,0,0,40,NA,"Darebin","North",2011,1258,"NA plenty",2010,1159,136,0.162533118572785,"further checking",3.14663077375036
"R16665","Completed",2021,0.27528545,"Galileo Gateway Townhouses",NA,NA,"Galileo","Gateway",NA,"BUNDOORA",0,14,0,0,NA,NA,NA,14,2,"DAREBIN","Northern",2021,4671,"NA galileo",2021,4572,136,0.162533118572785,"further checking",59.0416661561395
"R14259","Completed",2017,0.23107712,NA,NA,"2-8","Dart","Street",NA,"Highett",0,43,0,0,NA,NA,NA,43,5,"BAYSIDE","Inner South East",2018,3567,"2-8 dart",2017,3468,137,0.231061148948013,"further checking",99.9930858592736
"R17497","Completed",2021,0.23142849,"DART STREET APARTMENTS",NA,"6","MAJOR","Street",NA,"HIGHETT",0,0,45,0,NA,NA,NA,45,3,"BAYSIDE","Inner South East",2021,4715,"6 major",2021,4616,137,0.231061148948013,"further checking",99.8412708926207
"R00611","Completed",2008,4.69,"Essence Estate",NA,"81-87","Mitchell","Street",NA,"Maidstone",80,NA,NA,0,0,20,0,100,NA,"Maribyrnong","West",2011,1124,"81-87 mitchell",2008,1025,138,0.183287702807039,"further checking",3.90674865132852
"R13769","Completed",2020,0.18537237,NA,NA,"49","Rosamond","Road",NA,"MAIDSTONE",0,14,0,0,NA,NA,NA,14,2,"MARIBYRNONG","Western",2021,4831,"49 rosamond",2020,4732,138,0.183287702807039,"further checking",98.8754137314162
