"project_id","status","year_comp","area_ha","proj_name","proj_part","street_num","street_name","street_type","add_misc","suburb","detached","townhouses","apartments","unknown","att_1s","att_2_3s","att_4s","total_dwel","max_storeys","lga","region","file_year","x_id","identifier","year_compX","w_id","group_id","isec_area_ha","flag","isec_pct"
"R0833","Completed",2004,0.61,NA,"None","Lot 2","Urquhart","Street",NA,"COBURG",0,NA,NA,0,0,32,0,32,NA,"Moreland","North",2004,132,"Lot 2 urquhart",2004,58,28,0.112447101961356,"further checking",18.2692968872712
"R07651","Completed",2009,0.11,"Pentridge Boulevard Urquhart St Dwellings / Office",NA,"Urquhart","Urquhart","Street",NA,"Coburg",0,NA,NA,0,0,31,0,31,NA,"Moreland","North",2011,1472,"Urquhart urquhart",2009,1373,28,0.112447101961356,"further checking",99.979086794732
"R03554","Completed",2004,0.16,"Capitol Building","None","115","Swanston","Street",NA,"Melbourne",0,NA,NA,61,0,0,0,61,NA,"Melbourne","Inner",2005,316,"115 swanston",2004,217,29,0.155895864203759,"further checking",98.785791733071
"R07875","Completed",2008,0.16,"SPENCER STREET development",NA,"109-117","Spencer","Street",NA,"Melbourne",0,NA,NA,0,0,0,61,61,NA,"Melbourne","Inner",2011,1486,"109-117 spencer",2008,1387,29,0.155895864203759,"further checking",97.7492303142518
"R03536","Completed",2004,0.29,"Vue Apartments","None","235-275","Smithfield","Road",NA,"Kensington",0,NA,NA,0,0,0,176,176,NA,"Melbourne","Inner",2005,312,"235-275 smithfield",2004,213,30,0.285600453368202,"further checking",99.6065907380429
"R07884","Completed",2008,0.29,"SMITHFIELD  STOC ROAD development",NA,"235-275","Smithfield  Stoc","Road",NA,"Kensington",0,NA,NA,0,0,0,40,40,NA,"Melbourne","Inner",2011,1488,"235-275 smithfield  stoc",2008,1389,30,0.285600453368202,"further checking",99.2994612571225
"R05276","Completed",2005,0.03,"Lygon Street Student Accommodation","None","98-100","Lygon","Street",NA,"Carlton",0,NA,NA,14,0,0,0,14,NA,"Melbourne","Inner",2005,328,"98-100 lygon",2005,229,31,0.0282134542686865,"further checking",99.6935411830338
"R07918","Completed",2008,0.32,NA,NA,"98-100","Lygon","Street",NA,"Carlton",0,NA,NA,16,0,0,0,16,NA,"Melbourne","Inner",2011,1493,"98-100 lygon",2008,1394,31,0.0282134542686865,"further checking",8.69610317604718
"R00267","Completed",2005,0.04,"Avanti Apartments","None","117","Bouverie","Street",NA,"Carlton",0,NA,NA,0,0,0,39,39,NA,"Melbourne","Inner",2005,227,"117 bouverie",2004,128,32,0.0407093948099762,"further checking",98.9529320817742
"R07928","Completed",2008,0.04,"Avanti Apartments",NA,"117-121","BOUVERIE","Street",NA,"Carlton",0,NA,NA,39,0,0,0,39,NA,"Melbourne","Inner",2011,1497,"117-121 bouverie",2008,1398,32,0.0407093948099762,"further checking",99.9130649208229
"R00418","Completed",2006,17.98,"Commonwealth Games Village",NA,"944-1000","Park [Oak, Tullamarine, Gibson]","Street",NA,"Parkville",168,NA,NA,0,0,650,0,818,NA,"Melbourne","Inner",2008,542,"944-1000 park [oak, tullamarine, gibson]",2006,443,34,0.144649874425307,"further checking",0.80432788450154
"R08594","Completed",2010,0.14,NA,NA,"29-41","Parkville","Avenue",NA,"Parkville",0,NA,NA,15,0,0,0,15,NA,"Melbourne","Inner",2011,1530,"29-41 parkville",2010,1431,34,0.144649874425307,"further checking",100.00000000103
"R0796","Completed",2004,4.39,"Gas & Fuel site","None","36-58","Macaulay","Road",NA,"NORTH MELBOURNE",0,NA,NA,0,0,0,260,260,NA,"Melbourne","Inner",2004,65,"36-58 macaulay",2004,15,35,0.311279366690293,"further checking",7.07822579163631
"R06690","Completed",2011,0.31,"Apartments",NA,"60-96","Macaulay","STREET",NA,"North Melbourne",0,NA,NA,0,0,0,75,75,NA,"Melbourne","Inner",2012,1604,"60-96 macaulay",2011,1505,35,0.311279366690293,"further checking",99.4511494409419
"R03618","Completed",2004,0.34,NA,"None","1088-1096","Whitehorse","Road",NA,"BOX HILL",0,NA,NA,40,0,0,0,40,NA,"Whitehorse","East",2004,186,"1088-1096 whitehorse",2004,87,36,0.335327621755749,"further checking",99.8654062085934
"R07159","Completed",2011,0.34,"Whitehorse Road Apartments",NA,"1088-1090","Whitehorse","ROAD",NA,"Box Hill",0,NA,NA,0,0,39,0,39,NA,"Whitehorse","East",2012,1616,"1088-1090 whitehorse",2011,1517,36,0.335327621755749,"further checking",99.8654057828075
"R00418","Completed",2006,17.98,"Commonwealth Games Village",NA,"944-1000","Park [Oak, Tullamarine, Gibson]","Street",NA,"Parkville",168,NA,NA,0,0,650,0,818,NA,"Melbourne","Inner",2008,542,"944-1000 park [oak, tullamarine, gibson]",2006,443,37,0.889792822516523,"further checking",4.94770687788553
